StudentID,TestID,Physics,Chemistry,Maths,Total,Rank
JEE056,T003,67,28,68,163,65
JEE092,T004,56,79,74,209,44
JEE024,T006,38,73,24,135,10
JEE045,T009,24,92,57,173,57
JEE036,T001,48,98,83,229,62
JEE068,T005,74,98,90,262,33
JEE062,T004,52,26,89,167,11
JEE045,T008,66,93,78,237,45
JEE044,T007,47,34,69,150,60
JEE097,T003,21,66,50,137,40
JEE047,T006,54,91,100,245,74
JEE023,T003,70,26,52,148,74
JEE081,T008,65,29,78,172,5
JEE055,T009,72,25,37,134,33
JEE017,T002,31,53,48,132,22
JEE002,T005,38,42,37,117,94
JEE016,T009,31,24,25,80,64
JEE087,T003,54,78,88,220,26
JEE009,T006,36,96,35,167,22
JEE012,T005,89,21,29,139,56
JEE081,T010,61,85,95,241,96
JEE018,T010,43,68,66,177,88
JEE007,T010,72,76,41,189,4
JEE098,T009,100,62,27,189,94
JEE055,T006,48,94,98,240,76
JEE021,T002,33,34,67,134,68
JEE033,T001,66,32,67,165,56
JEE064,T007,86,32,51,169,2
JEE052,T004,49,57,44,150,22
JEE041,T009,75,46,92,213,79
JEE041,T007,44,78,72,194,56
JEE013,T001,51,45,49,145,62
JEE068,T006,68,93,90,251,84
JEE031,T003,33,78,83,194,48
JEE036,T004,57,51,85,193,62
JEE097,T005,46,42,51,139,42
JEE078,T002,45,55,86,186,70
JEE092,T007,27,58,80,165,80
JEE096,T006,100,95,95,290,43
JEE087,T001,97,84,62,243,56
JEE034,T006,20,99,26,145,77
JEE100,T010,77,77,82,236,58
JEE033,T002,96,48,81,225,11
JEE065,T001,27,89,98,214,78
JEE077,T003,95,51,22,168,68
JEE009,T003,59,83,84,226,62
JEE098,T001,65,67,95,227,26
JEE083,T009,45,37,56,138,39
JEE045,T009,41,52,54,147,73
JEE096,T007,79,78,99,256,77
JEE083,T002,34,26,100,160,63
JEE011,T010,78,58,68,204,86
JEE060,T009,33,51,61,145,75
JEE040,T005,38,68,68,174,14
JEE058,T010,92,61,73,226,74
JEE024,T005,88,59,84,231,19
JEE030,T007,87,38,78,203,87
JEE022,T006,23,98,71,192,46
JEE099,T002,33,20,63,116,4
JEE096,T004,96,62,68,226,5
JEE047,T004,37,72,37,146,3
JEE058,T010,23,71,86,180,67
JEE042,T003,62,45,98,205,46
JEE050,T002,20,46,65,131,18
JEE090,T004,72,84,32,188,63
JEE038,T007,79,47,48,174,50
JEE030,T010,62,89,71,222,69
JEE005,T007,100,69,74,243,90
JEE012,T007,37,84,88,209,70
JEE004,T001,94,63,79,236,49
JEE068,T008,35,97,68,200,77
JEE036,T002,28,99,33,160,20
JEE017,T001,39,84,58,181,8
JEE095,T010,50,23,22,95,36
JEE040,T005,62,72,48,182,20
JEE099,T010,59,99,51,209,58
JEE055,T007,60,45,49,154,50
JEE095,T003,61,41,91,193,41
JEE014,T005,73,36,45,154,27
JEE026,T007,81,42,76,199,86
JEE057,T009,69,28,48,145,38
JEE053,T004,94,62,86,242,21
JEE021,T010,93,87,55,235,21
JEE065,T009,58,85,65,208,69
JEE033,T004,74,51,67,192,39
JEE094,T001,66,77,45,188,90
JEE058,T009,92,87,93,272,14
JEE014,T010,56,56,37,149,94
JEE072,T003,98,51,95,244,14
JEE001,T006,81,80,44,205,87
JEE071,T005,85,29,58,172,55
JEE057,T009,24,60,83,167,93
JEE089,T010,65,72,74,211,26
JEE090,T003,86,25,93,204,91
JEE075,T001,87,35,99,221,8
JEE088,T006,38,88,85,211,41
JEE021,T001,94,30,70,194,81
JEE048,T010,99,92,49,240,66
JEE064,T001,82,100,96,278,5
JEE085,T003,89,68,22,179,91
JEE004,T007,58,98,100,256,1
JEE088,T001,82,79,50,211,45
JEE095,T003,32,100,37,169,75
JEE001,T004,26,46,58,130,29
JEE041,T005,31,79,60,170,89
JEE028,T009,32,24,62,118,100
JEE051,T006,72,70,70,212,8
JEE072,T005,80,81,58,219,30
JEE084,T007,28,48,68,144,39
JEE081,T009,78,89,56,223,3
JEE070,T010,53,21,48,122,70
JEE070,T002,30,97,95,222,62
JEE065,T002,57,64,48,169,50
JEE046,T008,56,66,87,209,80
JEE079,T003,47,92,63,202,61
JEE077,T005,67,26,30,123,5
JEE045,T001,78,62,97,237,76
JEE027,T002,93,23,34,150,32
JEE098,T005,46,81,66,193,42
JEE046,T008,95,34,82,211,6
JEE058,T004,80,59,32,171,79
JEE014,T003,64,65,58,187,36
JEE042,T010,56,29,35,120,31
JEE097,T005,71,82,71,224,38
JEE014,T006,66,23,36,125,85
JEE090,T004,43,23,50,116,78
JEE031,T010,93,56,82,231,10
JEE065,T004,48,94,29,171,1
JEE066,T010,62,95,73,230,100
JEE026,T009,24,44,24,92,100
JEE094,T004,57,82,66,205,30
JEE034,T006,62,91,92,245,6
JEE033,T001,97,35,73,205,99
JEE079,T004,75,71,79,225,40
JEE030,T009,30,70,97,197,28
JEE099,T005,70,74,61,205,72
JEE046,T005,71,68,42,181,11
JEE057,T004,79,67,89,235,99
JEE044,T009,26,90,95,211,94
JEE015,T007,20,72,97,189,72
JEE092,T002,85,42,52,179,99
JEE040,T002,27,45,97,169,98
JEE070,T005,25,25,62,112,69
JEE017,T009,33,79,67,179,54
JEE049,T005,65,90,62,217,64
JEE073,T001,44,81,55,180,37
JEE051,T008,89,74,48,211,86
JEE096,T006,44,30,20,94,24
JEE087,T003,36,43,62,141,69
JEE041,T002,67,67,89,223,17
JEE080,T004,53,57,72,182,28
JEE039,T002,25,96,71,192,27
JEE009,T010,76,86,22,184,85
JEE033,T005,29,56,23,108,14
JEE022,T002,74,21,82,177,36
JEE002,T008,86,72,92,250,49
JEE031,T008,99,71,24,194,14
JEE060,T010,30,30,73,133,98
JEE010,T005,34,72,59,165,51
JEE023,T001,69,72,64,205,94
JEE094,T009,61,44,57,162,12
JEE100,T010,79,71,20,170,39
JEE010,T004,44,78,66,188,48
JEE019,T008,80,98,83,261,38
JEE066,T006,43,92,53,188,37
JEE007,T001,22,20,64,106,20
JEE091,T007,94,26,55,175,42
JEE011,T010,48,54,92,194,92
JEE025,T004,63,91,86,240,7
JEE010,T009,28,61,63,152,96
JEE098,T001,81,61,94,236,11
JEE079,T004,47,22,59,128,97
JEE049,T004,69,85,31,185,45
JEE077,T010,31,56,100,187,48
JEE057,T003,34,63,73,170,100
JEE075,T003,60,74,28,162,49
JEE086,T005,72,31,69,172,71
JEE082,T009,26,22,98,146,76
JEE058,T007,24,30,83,137,18
JEE061,T007,42,89,85,216,52
JEE052,T004,97,97,92,286,22
JEE001,T005,57,37,93,187,94
JEE079,T005,77,79,47,203,69
JEE100,T003,57,59,49,165,31
JEE056,T002,28,64,80,172,43
JEE056,T006,74,83,44,201,57
JEE052,T002,49,88,88,225,100
JEE044,T007,81,36,92,209,82
JEE022,T008,53,97,63,213,76
JEE044,T007,96,71,53,220,2
JEE023,T003,55,36,73,164,87
JEE063,T010,90,42,76,208,65
JEE010,T004,59,76,53,188,73
JEE042,T005,57,78,91,226,63
JEE094,T010,65,77,69,211,68
JEE082,T002,87,100,55,242,76
JEE035,T002,54,50,25,129,94
JEE097,T001,87,81,50,218,70
JEE029,T002,54,73,39,166,49
JEE067,T002,66,33,69,168,99
JEE018,T005,66,35,51,152,48
JEE014,T008,36,40,62,138,47
JEE053,T002,71,63,78,212,47
JEE079,T007,86,91,21,198,32
JEE024,T003,62,23,61,146,76
JEE080,T005,67,77,80,224,18
JEE063,T008,57,24,85,166,48
JEE025,T009,92,40,45,177,3
JEE077,T007,27,54,79,160,6
JEE062,T009,33,60,81,174,4
JEE004,T005,65,65,22,152,12
JEE073,T009,31,27,58,116,75
JEE048,T008,89,73,69,231,32
JEE055,T008,44,23,96,163,80
JEE056,T003,29,80,81,190,64
JEE055,T009,61,62,47,170,36
JEE027,T003,88,82,23,193,72
JEE031,T002,81,57,58,196,40
JEE030,T007,43,98,24,165,27
JEE012,T009,78,43,29,150,14
JEE022,T004,93,67,37,197,70
JEE100,T003,41,79,83,203,18
JEE058,T003,59,68,89,216,30
JEE092,T010,94,90,97,281,91
JEE099,T008,60,81,36,177,85
JEE097,T010,82,23,67,172,63
JEE013,T001,81,38,61,180,45
JEE015,T002,28,46,22,96,72
JEE038,T002,93,31,52,176,32
JEE020,T002,77,38,80,195,53
JEE023,T004,69,30,83,182,51
JEE073,T010,30,95,72,197,80
JEE017,T010,89,47,22,158,81
JEE094,T005,31,55,100,186,43
JEE063,T009,81,30,65,176,58
JEE039,T001,84,84,49,217,34
JEE095,T008,77,37,78,192,24
JEE077,T005,64,64,97,225,32
JEE025,T010,37,98,60,195,59
JEE093,T009,81,66,59,206,22
JEE071,T003,73,21,99,193,11
JEE042,T009,76,54,24,154,98
JEE013,T004,92,33,75,200,41
JEE052,T002,33,45,53,131,41
JEE006,T008,44,62,77,183,34
JEE100,T004,46,68,70,184,45
JEE074,T006,97,93,96,286,22
JEE057,T008,93,70,45,208,58
JEE057,T004,76,68,76,220,88
JEE048,T008,53,23,63,139,2
JEE070,T007,52,37,91,180,18
JEE029,T003,52,36,48,136,7
JEE081,T007,67,72,84,223,99
JEE050,T002,92,82,80,254,84
JEE031,T010,78,40,65,183,22
JEE081,T007,35,30,57,122,54
JEE095,T001,26,68,70,164,13
JEE090,T004,33,45,54,132,82
JEE061,T004,100,31,95,226,41
JEE068,T001,96,28,85,209,11
JEE001,T009,75,60,47,182,90
JEE063,T010,56,98,37,191,8
JEE039,T002,38,58,65,161,57
JEE018,T009,49,75,62,186,45
JEE045,T009,40,20,24,84,17
JEE066,T004,66,85,55,206,79
JEE031,T004,55,75,83,213,64
JEE094,T006,56,95,31,182,91
JEE078,T004,93,92,96,281,30
JEE013,T001,43,45,35,123,100
JEE032,T002,95,61,84,240,45
JEE088,T008,43,78,79,200,23
JEE073,T004,25,88,96,209,69
JEE099,T001,21,100,45,166,49
JEE006,T007,34,87,25,146,11
JEE099,T001,57,81,71,209,61
JEE054,T003,24,82,49,155,87
JEE036,T002,88,58,43,189,78
JEE006,T010,20,69,85,174,66
JEE009,T005,63,60,90,213,77
JEE023,T010,42,45,85,172,19
JEE082,T002,59,26,74,159,82
JEE058,T003,75,91,84,250,23
JEE086,T003,58,82,97,237,87
JEE017,T001,49,26,64,139,64
JEE083,T007,60,68,27,155,35
JEE024,T009,28,47,46,121,51
JEE019,T009,52,28,72,152,58
JEE060,T004,50,97,66,213,13
JEE037,T005,66,44,85,195,78
JEE020,T007,49,55,30,134,52
JEE081,T001,80,79,90,249,7
JEE055,T004,26,95,40,161,22
JEE029,T009,51,31,54,136,25
JEE082,T005,68,30,26,124,88
JEE037,T007,72,93,78,243,44
JEE044,T004,23,41,59,123,66
JEE065,T009,30,82,63,175,59
JEE061,T006,43,22,22,87,2
JEE078,T006,42,54,31,127,52
JEE003,T002,82,72,56,210,13
JEE054,T009,69,95,53,217,95
JEE036,T009,53,90,86,229,96
JEE077,T002,35,87,68,190,12
JEE086,T002,91,63,62,216,72
JEE035,T006,54,48,57,159,5
JEE084,T009,64,71,43,178,93
JEE016,T003,95,98,33,226,19
JEE046,T007,90,87,76,253,26
JEE049,T004,40,91,69,200,71
JEE031,T010,50,57,50,157,55
JEE100,T010,22,30,97,149,31
JEE069,T005,92,50,47,189,89
JEE026,T008,97,20,82,199,5
JEE085,T009,85,90,48,223,5
